request_id,experiment_id,regime,workload_scenario,concurrency,request_rate,request_duration,best_server,server_1_cpu,server_1_memory,server_1_connections,server_1_response_time,server_1_network_latency,server_2_cpu,server_2_memory,server_2_connections,server_2_response_time,server_2_network_latency,server_3_cpu,server_3_memory,server_3_connections,server_3_response_time,server_3_network_latency,correct_logistic_regression,pred_logistic_regression,correct_random_forest,pred_random_forest,correct_decision_tree,pred_decision_tree,correct_svm,pred_svm,correct_xgboost,pred_xgboost,best_model,num_correct_models
p12_exp_02_low_lc_seen_6,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_7,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_8,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_9,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_10,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_11,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_12,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_13,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_14,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_15,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_16,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_17,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_18,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_19,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_20,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_21,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_22,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_23,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_24,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_25,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_26,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_27,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_28,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_29,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_30,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_31,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_32,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_33,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_34,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_02_low_lc_seen_35,p12_exp_02_low_lc_seen,low_load,low_load,3,8.0,0.02,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_1,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_2,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_3,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_4,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_5,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_6,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_7,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_8,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_9,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_10,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_11,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_12,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_13,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_14,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_15,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_16,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_17,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_18,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_19,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_20,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
p12_exp_03_low_iphash_unseen_21,p12_exp_03_low_iphash_unseen,low_load,low_load,1,4.5,0.015,server-1,15.0,25.0,1,20.0,1.5,15.0,25.0,0,20.0,1.5,15.0,25.0,0,20.0,1.5,1,server-1,1,server-1,1,server-1,1,server-1,1,server-1,SVM,5
